date_id,date,day_name,day_number,week_number,month_name,month_number,quarter,year,is_weekend,fiscal_year,year_month
1,2018-01-01,Monday,1,1,January,1,1,2018,False,2018,2018-01
2,2018-01-02,Tuesday,2,1,January,1,1,2018,False,2018,2018-01
3,2018-01-03,Wednesday,3,1,January,1,1,2018,False,2018,2018-01
4,2018-01-04,Thursday,4,1,January,1,1,2018,False,2018,2018-01
5,2018-01-05,Friday,5,1,January,1,1,2018,False,2018,2018-01
6,2018-01-06,Saturday,6,1,January,1,1,2018,True,2018,2018-01
7,2018-01-07,Sunday,7,1,January,1,1,2018,True,2018,2018-01
8,2018-01-08,Monday,8,2,January,1,1,2018,False,2018,2018-01
9,2018-01-09,Tuesday,9,2,January,1,1,2018,False,2018,2018-01
10,2018-01-10,Wednesday,10,2,January,1,1,2018,False,2018,2018-01
11,2018-01-11,Thursday,11,2,January,1,1,2018,False,2018,2018-01
12,2018-01-12,Friday,12,2,January,1,1,2018,False,2018,2018-01
13,2018-01-13,Saturday,13,2,January,1,1,2018,True,2018,2018-01
14,2018-01-14,Sunday,14,2,January,1,1,2018,True,2018,2018-01
15,2018-01-15,Monday,15,3,January,1,1,2018,False,2018,2018-01
16,2018-01-16,Tuesday,16,3,January,1,1,2018,False,2018,2018-01
17,2018-01-17,Wednesday,17,3,January,1,1,2018,False,2018,2018-01
18,2018-01-18,Thursday,18,3,January,1,1,2018,False,2018,2018-01
19,2018-01-19,Friday,19,3,January,1,1,2018,False,2018,2018-01
20,2018-01-20,Saturday,20,3,January,1,1,2018,True,2018,2018-01
21,2018-01-21,Sunday,21,3,January,1,1,2018,True,2018,2018-01
22,2018-01-22,Monday,22,4,January,1,1,2018,False,2018,2018-01
23,2018-01-23,Tuesday,23,4,January,1,1,2018,False,2018,2018-01
24,2018-01-24,Wednesday,24,4,January,1,1,2018,False,2018,2018-01
25,2018-01-25,Thursday,25,4,January,1,1,2018,False,2018,2018-01
26,2018-01-26,Friday,26,4,January,1,1,2018,False,2018,2018-01
27,2018-01-27,Saturday,27,4,January,1,1,2018,True,2018,2018-01
28,2018-01-28,Sunday,28,4,January,1,1,2018,True,2018,2018-01
29,2018-01-29,Monday,29,5,January,1,1,2018,False,2018,2018-01
30,2018-01-30,Tuesday,30,5,January,1,1,2018,False,2018,2018-01
31,2018-01-31,Wednesday,31,5,January,1,1,2018,False,2018,2018-01
32,2018-02-01,Thursday,1,5,February,2,1,2018,False,2018,2018-02
33,2018-02-02,Friday,2,5,February,2,1,2018,False,2018,2018-02
34,2018-02-03,Saturday,3,5,February,2,1,2018,True,2018,2018-02
35,2018-02-04,Sunday,4,5,February,2,1,2018,True,2018,2018-02
36,2018-02-05,Monday,5,6,February,2,1,2018,False,2018,2018-02
37,2018-02-06,Tuesday,6,6,February,2,1,2018,False,2018,2018-02
38,2018-02-07,Wednesday,7,6,February,2,1,2018,False,2018,2018-02
39,2018-02-08,Thursday,8,6,February,2,1,2018,False,2018,2018-02
40,2018-02-09,Friday,9,6,February,2,1,2018,False,2018,2018-02
41,2018-02-10,Saturday,10,6,February,2,1,2018,True,2018,2018-02
42,2018-02-11,Sunday,11,6,February,2,1,2018,True,2018,2018-02
43,2018-02-12,Monday,12,7,February,2,1,2018,False,2018,2018-02
