target_id,date_id,customer_id,product_id,target_quantity,target_amount
1,1,104,6,162,46606.1
2,1,35,7,186,46500.11
3,1,122,9,240,24326.36
4,1,60,18,478,19352.27
5,1,69,32,444,5837.35
6,1,50,29,466,28624.83
7,1,114,26,224,8757.83
8,1,37,7,164,10356.09
9,1,125,33,380,39057.96
10,1,76,25,152,31210.43
11,1,83,36,153,48098.46
12,1,91,27,257,40290.76
13,1,97,27,150,31158.46
14,1,196,14,337,26512.32
15,1,152,24,418,10421.57
16,1,10,20,107,44913.04
17,1,19,21,203,28170.03
18,1,16,5,365,10560.93
19,1,195,13,442,18313.42
20,1,120,30,182,46628.31
21,1,135,22,50,9254.68
22,1,4,15,358,31207.01
23,1,38,25,376,10630.85
24,1,198,16,373,34085.89
25,1,148,16,66,36549.47
26,1,188,16,78,32598.33
27,1,37,3,253,32313.99
28,1,152,14,259,38646.74
29,1,5,13,471,18214.17
30,1,118,17,152,33613.36
31,1,22,14,84,29964.2
32,1,117,28,149,9997.45
33,1,74,28,417,43232.18
34,1,28,33,488,35312.76
35,1,14,6,267,35934.15
36,1,176,6,422,42383.86
37,1,81,34,238,19048.77
38,1,129,31,181,10479.84
39,1,31,27,340,41468.01
40,1,115,31,334,17692.58
41,1,183,2,425,28400.73
42,1,140,21,107,21613.15
43,1,195,30,469,36885.32
44,1,148,22,213,8184.83
45,1,154,22,139,29948.87
46,1,132,12,460,23170.39
47,1,116,7,197,7758.78
48,1,156,31,54,37752.91
49,1,110,18,372,21708.89
50,1,90,29,265,38183.7
51,1,130,15,216,45066.02
52,1,98,31,309,8797.12
53,1,193,24,375,35905.38
54,1,84,6,499,48838.3
55,1,120,29,461,5366.63
56,1,190,23,485,21886.71
57,1,55,23,407,21156.44
58,1,100,6,303,40684.7
59,1,171,14,263,44734.68
60,1,97,25,245,32284.93
61,1,131,26,357,31979.04
62,1,82,13,424,11513.13
63,1,136,4,290,42804.13
64,1,138,8,272,27885.12
65,1,53,27,355,46070.64
66,1,43,32,317,6202.67
67,1,2,10,357,7036.14
68,1,133,27,285,16549.15
69,1,11,6,373,30535.7
70,1,136,10,216,18431.14
71,1,95,17,105,49380.5
72,1,64,29,459,40995.27
73,1,101,30,203,19519.24
74,1,86,33,202,29581.42
75,1,144,24,358,40057.91
76,1,26,19,426,30315.66
77,1,183,19,288,40581.36
78,1,49,19,101,47222.71
79,1,51,24,171,12491.71
80,1,143,35,58,27844.75
81,1,145,19,136,20727.72
82,1,70,28,219,27400.02
83,1,198,7,328,38359.24
84,1,51,25,467,6035.62
85,1,143,27,472,23991.04
86,1,104,15,172,45585.71
87,1,167,18,179,25602.19
88,1,34,32,333,22990.35
89,1,94,16,119,34713.19
90,1,4,17,52,37299.71
91,1,195,8,450,5024.29
92,1,9,33,204,22371.35
93,1,200,26,260,41391.61
94,1,167,13,382,6687.94
95,1,193,27,120,42279.0
96,1,79,31,98,31950.71
97,1,41,13,396,5100.34
98,1,158,28,63,44677.37
99,1,115,2,290,7579.14
100,1,156,24,437,17061.37
101,32,5,23,331,47277.69
102,32,101,2,260,13343.04
103,32,127,20,102,23675.67
104,32,142,19,404,35204.28
105,32,72,24,210,25625.78
106,32,14,18,368,14673.79
107,32,135,36,154,23064.53
108,32,1,3,225,44183.67
109,32,188,15,373,36485.28
110,32,172,11,491,12732.69
111,32,97,12,182,15673.61
112,32,155,24,181,15020.81
113,32,187,6,254,23904.69
114,32,5,30,353,33051.33
115,32,160,36,434,33619.24
116,32,36,7,373,18549.08
117,32,162,19,143,25357.07
118,32,153,5,311,21205.87
119,32,49,1,255,28206.6
120,32,191,1,86,44675.23
121,32,15,17,486,47379.12
122,32,146,12,175,28719.89
123,32,79,21,446,31558.17
124,32,144,3,182,41190.35
125,32,163,10,149,11668.55
126,32,52,16,76,14092.62
127,32,83,28,207,40609.01
128,32,131,18,317,34711.51
129,32,67,8,484,11465.58
130,32,174,22,342,46028.16
131,32,65,32,321,8849.9
132,32,40,28,408,13249.44
133,32,108,24,81,10792.57
134,32,97,7,57,48550.9
135,32,148,12,224,24284.71
136,32,103,2,243,5417.75
137,32,119,10,281,9603.77
138,32,123,31,486,13421.95
139,32,126,36,339,17034.93
140,32,4,3,401,12024.16
141,32,150,7,186,7995.97
142,32,101,20,257,27415.76
143,32,30,30,439,44209.95
144,32,132,21,161,26829.43
145,32,163,1,53,38136.86
146,32,30,31,172,34904.4
147,32,102,16,353,7672.66
148,32,30,36,72,39180.16
149,32,56,31,312,46133.86
150,32,5,4,306,12110.66
151,32,152,18,463,21932.42
152,32,198,6,204,28286.4
153,32,108,26,147,6676.28
154,32,19,5,261,48009.18
155,32,60,16,413,29272.07
156,32,30,12,160,38131.16
157,32,3,32,189,10515.5
158,32,138,8,383,44625.69
159,32,89,1,157,6748.25
160,32,80,22,175,40557.45
161,32,127,10,485,22605.95
162,32,33,11,453,17404.93
163,32,112,25,176,33598.55
164,32,64,27,69,47276.85
165,32,107,32,479,23570.3
166,32,32,13,229,39045.57
167,32,65,31,313,22937.3
168,32,79,7,102,42368.34
169,32,22,33,301,38239.67
170,32,117,8,122,30966.15
171,32,36,10,139,34082.59
172,32,90,27,420,19723.45
173,32,191,4,404,22362.46
174,32,106,26,297,33900.71
