shipping_id,date_id,product_id,market_id,warehouse_id,quantity_shipped,cost_of_shipping,delivery_status,days_for_delivery
1,1286,35,5,2,40,437.51,Delivered,3
2,920,23,10,3,48,232.34,Delivered,1
3,1774,28,8,3,36,109.5,Delivered,8
4,933,18,6,4,19,86.01,Delivered,8
5,350,28,11,1,191,97.77,Delivered,10
6,835,22,7,5,104,137.94,Delivered,4
7,573,20,5,5,38,183.09,Delivered,9
8,501,21,15,5,172,338.31,Delivered,2
9,2111,35,13,2,116,440.87,In Transit,10
10,692,23,10,3,119,312.24,Delivered,8
11,1226,33,13,1,27,416.59,Delivered,3
12,1119,3,7,1,28,287.01,Delivered,7
13,836,20,8,5,182,319.56,Delivered,10
14,1255,8,7,5,10,434.2,Delivered,7
15,180,36,7,1,113,68.61,Delivered,9
16,150,15,6,2,107,236.54,Delivered,9
17,1188,12,11,5,118,407.86,Delivered,3
18,192,28,1,3,132,161.55,In Transit,3
19,418,32,4,1,78,217.3,Delivered,7
20,1579,34,15,5,151,461.67,Delivered,10
21,409,20,12,3,35,361.49,Delivered,8
22,729,4,6,4,166,66.2,Delivered,3
23,793,18,5,4,170,185.66,Delivered,1
24,1905,10,4,1,97,331.23,Delayed,4
25,833,11,9,5,133,355.85,Delivered,8
26,538,12,15,2,106,422.95,In Transit,4
27,344,29,11,2,99,336.05,Delivered,1
28,2099,1,8,5,81,314.03,Delivered,2
29,1270,28,13,1,172,217.17,Delivered,2
30,1140,19,2,2,124,409.96,Delivered,2
31,1627,3,11,3,194,285.64,Delayed,4
32,22,9,9,4,81,437.42,Delayed,1
33,2023,10,13,1,43,225.36,Delivered,10
34,439,5,10,3,79,340.0,Delivered,7
35,2047,29,1,1,188,223.0,Delivered,6
36,1222,27,15,4,106,432.81,Delivered,1
37,119,9,2,2,74,183.15,Delivered,1
38,247,31,3,3,123,249.73,Delivered,6
39,579,22,14,1,78,216.08,Delivered,7
40,307,16,4,4,115,496.46,Delivered,9
41,408,21,5,4,91,380.89,Delivered,4
42,2068,36,8,5,102,233.41,Delivered,10
43,1548,9,4,4,13,271.61,Delivered,9
44,1356,17,6,4,20,210.24,Delivered,10
45,220,18,12,2,91,361.61,In Transit,9
46,576,19,13,4,42,90.29,Delivered,9
47,1246,17,15,2,137,259.81,Delivered,9
48,2041,24,4,4,192,125.89,Delivered,7
49,424,11,10,1,174,288.72,Delivered,5
50,282,28,13,5,60,131.83,Delivered,5
51,733,26,7,1,19,129.87,Delivered,7
52,1851,32,12,3,87,228.6,Delivered,10
53,329,31,11,4,189,153.0,In Transit,7
54,607,1,14,4,61,483.11,Delivered,4
55,538,18,2,1,128,121.55,Delivered,1
56,1611,27,3,4,195,339.55,Delivered,3
57,612,19,7,4,74,442.63,Delivered,4
58,166,4,5,1,56,331.2,Delayed,7
59,769,28,10,4,52,239.71,Delivered,6
60,278,24,3,4,167,430.51,Delivered,3
61,744,5,7,2,127,400.25,Delivered,2
62,1411,26,12,4,121,110.31,Delivered,5
63,234,9,5,5,83,96.93,Delivered,9
64,60,10,13,3,160,79.56,Delivered,9
65,1929,23,2,2,99,304.01,Delivered,7
66,1573,10,12,2,95,137.41,Delayed,5
67,1803,24,10,2,44,110.33,Delivered,2
68,1848,33,5,1,118,57.03,Delivered,7
69,1147,9,8,3,15,275.1,Delivered,4
70,122,20,1,5,62,168.47,Delivered,4
71,1191,16,15,2,135,413.36,Delivered,3
72,740,24,13,5,157,240.52,Delivered,10
73,1260,25,10,1,131,53.24,Delivered,1
74,1140,8,9,4,37,406.55,Delivered,1
75,2024,13,15,2,119,99.87,Delivered,9
76,1289,20,1,5,129,243.15,Delivered,3
77,1170,7,2,1,84,427.42,Delivered,5
78,153,31,1,4,121,135.1,In Transit,5
79,238,13,10,3,179,338.8,Delivered,3
80,171,27,7,4,63,261.04,In Transit,9
81,1810,28,12,5,76,448.31,Delivered,2
82,695,8,4,1,146,145.47,Delivered,3
83,1479,29,10,4,96,217.95,Delivered,10
84,166,12,5,1,13,193.42,Delivered,4
85,554,33,11,4,179,237.43,Delivered,7
86,1495,11,3,3,29,321.09,Delivered,7
87,564,34,6,4,39,88.0,Delivered,4
88,1347,5,9,2,58,226.95,Delivered,9
89,373,29,1,1,67,269.85,Delivered,8
90,1459,6,4,1,34,82.75,Delivered,9
91,648,18,1,3,16,252.24,Delivered,6
92,763,25,2,4,57,399.5,Delivered,4
93,347,14,14,3,28,429.14,Delivered,7
94,660,3,1,3,196,133.33,Delivered,4
95,1087,6,10,2,139,148.33,Delivered,10
96,1061,22,13,2,29,187.31,Delivered,2
97,796,28,3,5,118,179.78,Delivered,8
98,1453,2,9,1,113,166.03,Delivered,2
99,817,18,5,2,108,158.11,Delivered,6
100,1281,6,11,3,99,296.18,Delivered,5
101,992,7,6,4,92,341.15,Delivered,6
102,867,36,4,5,193,179.5,Delivered,10
103,21,27,4,1,166,292.48,Delivered,8
104,468,19,7,1,50,477.49,Delivered,8
105,47,19,9,3,144,389.59,Delivered,3
106,1487,33,12,5,119,213.75,Delivered,10
107,69,19,6,1,128,110.74,Delivered,6
108,1322,27,4,5,30,267.91,In Transit,10
109,1556,2,14,1,17,55.09,Delivered,7
110,1399,30,14,5,45,438.83,In Transit,7
111,910,29,8,1,156,375.52,Delivered,2
112,1698,6,2,5,13,243.91,Delivered,5
113,1694,16,13,2,34,150.46,Delivered,10
114,1799,6,1,3,124,411.93,Delivered,10
115,140,3,2,2,63,400.9,Delivered,2
116,532,24,12,2,30,252.61,Delivered,9
117,1215,1,1,3,127,431.11,Delivered,1
118,1877,22,7,3,146,109.44,In Transit,3
119,1807,36,6,2,122,433.01,Delivered,9
120,298,25,7,3,81,493.28,In Transit,2
121,2104,7,12,1,103,448.69,Delivered,6
122,1923,23,4,1,33,270.58,Delivered,6
123,1911,11,4,2,169,185.97,Delivered,3
124,504,20,12,4,52,267.46,Delivered,10
125,85,15,9,3,112,380.52,Delivered,10
126,1757,24,1,3,58,213.12,Delivered,3
127,709,33,11,3,150,254.65,Delivered,3
128,1530,8,6,5,137,376.13,Delivered,7
129,136,2,11,3,20,105.06,Delivered,4
130,618,28,5,5,20,431.7,Delivered,7
131,360,26,9,3,135,477.17,Delivered,8
132,95,23,7,1,116,209.46,Delivered,3
133,570,1,11,2,171,406.68,Delivered,3
134,759,24,14,4,101,219.41,Delivered,1
135,509,12,11,2,166,225.69,Delivered,3
136,1598,31,2,4,126,403.8,Delivered,10
137,535,6,6,5,95,252.28,Delivered,4
138,1870,7,12,3,184,434.54,Delivered,2
139,448,4,12,3,180,331.38,Delivered,9
140,326,1,5,1,175,274.2,Delivered,4
141,1201,20,6,3,82,436.01,Delivered,10
142,470,24,8,4,125,53.29,Delivered,4
143,500,13,5,4,181,287.46,Delivered,10
144,1850,31,8,2,96,304.33,Delivered,7
145,1419,28,11,4,198,473.42,Delivered,10
146,1956,33,15,2,16,252.58,Delivered,4
147,1223,5,4,4,26,428.86,Delivered,5
